label,value
JX272636.1.1808_U,JX272636.1.1808_U
EF165139.1.1755_U,EF165139.1.1755_U
FN429123.1.1723_U,FN429123.1.1723_U
U14388.1.1839_U,U14388.1.1839_U
AB042204.1.1811_U,AB042204.1.1811_U
AF018162.1.1798_U,AF018162.1.1798_U
JX272635.1.1781_U,JX272635.1.1781_U
EU011923.1.1885_U,EU011923.1.1885_U
AF401526.1.1727_U,AF401526.1.1727_U
AY266292.1.1853_U,AY266292.1.1853_U
FJ821481.1.1797_U,FJ821481.1.1797_U
EU011928.1.1772_U,EU011928.1.1772_U
AY266294.1.1834_U,AY266294.1.1834_U
AB246692.1.1709_U,AB246692.1.1709_U
DQ222877.1.1801_U,DQ222877.1.1801_U
AY254857.1.1771_U,AY254857.1.1771_U
DQ487194.1.1780_U,DQ487194.1.1780_U
AY490210.1.2008_U,AY490210.1.2008_U
EU286810.1.1766_U,EU286810.1.1766_U
M32705.1.1809_U,M32705.1.1809_U
AY217727.1.1752_U,AY217727.1.1752_U
EU542594.1.1901_U,EU542594.1.1901_U
JF694285.1.1977_U,JF694285.1.1977_U
AY043206.1.1796_U,AY043206.1.1796_U
U40258.1.2236_U,U40258.1.2236_U
JQ782059.1.1799_U,JQ782059.1.1799_U
EU503539.1.1662_U,EU503539.1.1662_U
EU399529.1.1774_U,EU399529.1.1774_U
FR865770.1.1775_U,FR865770.1.1775_U
JN084213.1.1502_U,JN084213.1.1502_U
X70809.1.1793_U,X70809.1.1793_U
AY714366.1.2088_U,AY714366.1.2088_U
AF100941.1.1978_U,AF100941.1.1978_U
AB284580.1.1782_U,AB284580.1.1782_U
