Sample,Depth,size_range,lat,long,Diversity
TARA_X000000361,DCM,180-2000,36.5533,-6.5669,1.26904360661126
TARA_X000000410,DCM,5-20,36.5533,-6.5669,2.11810472741589
TARA_X000000408,DCM,0.8-5,36.5533,-6.5669,4.41926094976675
TARA_X000000357,SUR,180-2000,36.5533,-6.5669,2.15068414966312
TARA_X000000325,SUR,5-20,36.5533,-6.5669,1.90721979986997
TARA_X000000323,SUR,0.8-5,36.5533,-6.5669,4.37999736512571
TARA_X000000741,DCM,180-2000,37.018,1.9476,2.2069484909658
TARA_A200000148,DCM,5-20,37.0541,1.9478,2.54313705251741
TARA_A200000158,DCM,0.8-5,37.0541,1.9478,4.56176739791078
TARA_A200000102,DCM,20-180,37.0112,1.946,3.12339747737596
TARA_A200000170,SUR,180-2000,37.0242,1.9486,2.63929100412159
TARA_A200000110,SUR,5-20,37.051,1.9378,3.51801143735489
TARA_A200000123,SUR,0.8-5,37.051,1.9378,4.65409716507327
TARA_A200000139,SUR,20-180,37.0299,1.9575,2.66921597543022
TARA_X000001056,DCM,5-20,39.0609,5.9422,0.049606682392782
TARA_X000001010,DCM,180-2000,39.0862,5.78,1.9518073513056
TARA_X000001040,DCM,0.8-5,39.0609,5.9422,5.05586569530543
TARA_X000000970,SUR,5-20,39.1633,5.916,3.76927743009454
TARA_X000001006,SUR,180-2000,39.0856,5.7927,2.70438654637501
TARA_X000000954,SUR,0.8-5,39.1633,5.916,4.63643031234787
TARA_X000001288,SUR,0.8-5,41.6686,2.7996,3.41413679226037
TARA_X000001286,SUR,5-20,41.6686,2.7996,3.02929600902448
TARA_X000001338,SUR,20-180,41.6663,2.7994,1.67338946492926
TARA_X000001334,SUR,180-2000,41.6666,2.7962,2.17723522836158
TARA_A100000035,DCM,0.8-5,37.4532,15.4596,5.24673477957193
TARA_A100000039,DCM,5-20,37.4532,15.4596,0.050418000492942
TARA_A100000038,SUR,5-20,37.4956,15.4945,1.12226818596977
TARA_A100000032,SUR,0.8-5,37.4956,15.4945,4.86803007470929
TARA_A100000600,DCM,180-2000,35.7528,14.2765,2.39038697671963
TARA_A100000602,DCM,5-20,35.7528,14.2765,2.57236290657381
TARA_A100000604,DCM,0.8-5,35.7528,14.2765,4.72971056819617
TARA_A100000589,DCM,20-180,35.7528,14.2765,2.37509183873832
TARA_A100000594,SUR,180-2000,35.7405,14.3238,1.20721686193567
TARA_A100000598,SUR,5-20,35.759,14.2574,1.93076993207861
TARA_A100000595,SUR,0.8-5,35.759,14.2574,4.34153882796063
TARA_A100000596,SUR,20-180,35.7444,14.3083,1.5349777455378
TARA_A100000758,SUR,0.8-5,34.453,14.9538,4.67397844727709
TARA_A100000761,SUR,5-20,34.453,14.9538,0.179139939435735
TARA_A100000750,SUR,20-180,34.4933,14.9133,1.68612348051948
TARA_A100000759,SUR,180-2000,34.4064,15.043,2.35807571812743
TARA_A100000698,DCM,0.8-5,39.5705,17.4101,5.18483769314089
TARA_A100000696,DCM,5-20,39.5705,17.4101,3.11689058536091
TARA_A100000695,DCM,20-180,39.8661,17.3868,3.2797591269762
TARA_A100000532,SUR,180-2000,39.8312,17.3952,2.91543499619115
TARA_A100000534,SUR,0.8-5,39.8386,17.4155,3.85398001997711
TARA_A100000539,SUR,5-20,39.8386,17.4155,2.69238440557937
TARA_A100000538,SUR,20-180,39.814,17.4138,3.04478488403038
TARA_A100000700,DCM,180-2000,39.8607,17.4105,2.65985977902862
TARA_A100000554,DCM,180-2000,42.1646,17.736,2.28882218233804
TARA_A100000558,DCM,5-20,42.1735,17.7252,0.388750091970439
TARA_A100000559,DCM,0.8-5,42.1735,17.7252,5.14473239685773
TARA_A100000556,DCM,20-180,42.1694,17.7179,2.18700909060775
TARA_A100000546,SUR,180-2000,42.1916,17.7175,1.72222995367998
TARA_A100000553,SUR,5-20,42.2038,17.715,2.42438311138947
TARA_A100000551,SUR,0.8-5,42.2038,17.715,5.25222767612447
TARA_A100000548,SUR,20-180,42.1735,17.7175,2.63971128617527
TARA_A100000362,SUR,0.8-20,42.4552,17.9348,4.58129275529248
TARA_A100000360,SUR,20-180,42.456,17.9393,2.62123790145471
TARA_A100000357,SUR,180-2000,42.4593,17.9594,1.54534300248574
TARA_E500000200,DCM,180-2000,39.3833,19.4183,1.5743075239036
TARA_A100000398,DCM,5-20,39.3991,19.3997,2.58915903270425
TARA_A100000396,DCM,0.8-5,39.3991,19.3997,5.60959308907262
