Totab_all,Sample
1336836,TARA_A100000032
1503559,TARA_A100000035
1350143,TARA_A100000038
831783,TARA_A100000039
1657084,TARA_A100000357
1209093,TARA_A100000360
1636860,TARA_A100000362
1266849,TARA_A100000393
1798402,TARA_A100000394
1223298,TARA_A100000396
1070148,TARA_A100000398
1444109,TARA_A100000400
1409086,TARA_A100000402
1855558,TARA_A100000532
1547033,TARA_A100000534
2000574,TARA_A100000538
1322267,TARA_A100000539
1137253,TARA_A100000546
1717778,TARA_A100000548
1573619,TARA_A100000551
1445483,TARA_A100000553
1793367,TARA_A100000554
1720305,TARA_A100000556
1398608,TARA_A100000558
1237282,TARA_A100000559
2429955,TARA_A100000589
1934020,TARA_A100000594
1363995,TARA_A100000595
1766855,TARA_A100000596
1636194,TARA_A100000598
1960433,TARA_A100000600
1183612,TARA_A100000602
1769381,TARA_A100000604
1091891,TARA_A100000695
1409751,TARA_A100000696
1086124,TARA_A100000698
1725585,TARA_A100000700
3287582,TARA_A100000750
2286486,TARA_A100000758
1185953,TARA_A100000759
2375123,TARA_A100000761
719999,TARA_A100001141
1087730,TARA_A100001142
1858758,TARA_A100001143
1542814,TARA_A100001144
1148613,TARA_A100001145
1705121,TARA_A100001146
1687381,TARA_A100001147
1058221,TARA_A100001148
2463832,TARA_A100001244
1468385,TARA_A100001245
1458053,TARA_A100001246
1373171,TARA_A100001333
3667634,TARA_A100001335
1678584,TARA_A100001431
1946372,TARA_A100001432
1050004,TARA_A100001433
3267443,TARA_A100001638
558593,TARA_A100001640
1927345,TARA_A100001644
1886262,TARA_A100001646
1464367,TARA_A100001648
767327,TARA_A100001685
4305252,TARA_A100001686
1482895,TARA_A200000102
1273320,TARA_A200000110
1100019,TARA_A200000123
2031620,TARA_A200000139
2458626,TARA_A200000148
1342490,TARA_A200000158
1099101,TARA_A200000170
1994286,TARA_E400007200
1910371,TARA_E500000196
1927033,TARA_E500000200
210636,TARA_N000000008
1260609,TARA_N000000009
208981,TARA_N000000011
229535,TARA_N000000012
167381,TARA_N000000013
198037,TARA_N000000014
913747,TARA_N000000029
811226,TARA_N000000030
3722800,TARA_N000000037
1482533,TARA_N000000038
2511963,TARA_N000000039
3832267,TARA_N000000040
1105515,TARA_N000000041
993061,TARA_N000000042
1302825,TARA_N000000071
1638539,TARA_N000000072
1493996,TARA_N000000073
1831044,TARA_N000000074
1931059,TARA_N000000075
2647922,TARA_N000000076
1282080,TARA_N000000077
1491810,TARA_N000000078
2007659,TARA_N000000085
2176757,TARA_N000000086
2585249,TARA_N000000087
1363233,TARA_N000000088
1799773,TARA_N000000089
1050998,TARA_N000000091
1718081,TARA_N000000093
2381980,TARA_N000000095
1185873,TARA_N000000113
1376407,TARA_N000000115
1170672,TARA_N000000238
1787554,TARA_N000000255
3387124,TARA_N000000257
1521882,TARA_N000000259
2406670,TARA_N000000261
1883633,TARA_N000000311
764571,TARA_N000000312
1865330,TARA_N000000313
2089475,TARA_N000000314
953120,TARA_N000000316
1498737,TARA_N000000317
1585532,TARA_N000000318
1716676,TARA_N000000319
607621,TARA_N000000320
1773122,TARA_N000000321
960989,TARA_N000000322
1079890,TARA_N000000323
1850120,TARA_N000000324
1756410,TARA_N000000325
761086,TARA_N000000326
348934,TARA_N000000327
705017,TARA_N000000522
786020,TARA_N000000524
1236075,TARA_N000000526
135939,TARA_N000000532
1644784,TARA_N000000535
1954448,TARA_N000000539
1673940,TARA_N000000570
1418556,TARA_N000000581
2086838,TARA_N000000585
1750193,TARA_N000000589
1802677,TARA_N000000593
2778585,TARA_N000000596
1101101,TARA_N000000598
1733157,TARA_N000000600
1190859,TARA_N000000616
1647054,TARA_N000000618
1856659,TARA_N000000620
1295306,TARA_N000000622
1989149,TARA_N000000625
2141131,TARA_N000000662
1802814,TARA_N000000666
1544605,TARA_N000000674
1166492,TARA_N000000678
1442046,TARA_N000000682
554647,TARA_N000000701
1863327,TARA_N000000703
1912249,TARA_N000000705
981311,TARA_N000000709
1688173,TARA_N000000711
4378074,TARA_N000000718
